id,institution_code,program_code,catalog_year,slot_code,title,credits,level,residency_required,sort_order,group_name
33f0cb2f-3fb8-5a03-93bd-f66214b4f6d0,UMPI,BSBA,2025-2026,ENG1,English Composition I,3,LOWER,false,1,General Education
b6011795-14d1-5543-8ac6-5c6cce792bbd,UMPI,BSBA,2025-2026,ENG2,English Composition II,3,LOWER,false,2,General Education
58458777-4f9e-50f9-8fd2-6e43aa48aef8,UMPI,BSBA,2025-2026,QR,Quantitative Reasoning / College Algebra,3,LOWER,false,3,General Education
673494ab-9091-56f0-b2c8-7c797e929a63,UMPI,BSBA,2025-2026,STAT,Introductory Statistics,3,LOWER,false,4,General Education
514df2a2-2151-5664-a5a6-c212202b2ab4,UMPI,BSBA,2025-2026,NS1,Natural Science with Lab,4,LOWER,false,5,General Education
1b6128b0-f98d-53cd-8b43-936e70b88482,UMPI,BSBA,2025-2026,NS2,Natural Science,3,LOWER,false,6,General Education
32d3006b-ac8f-5f49-9c8e-c07a6ab72446,UMPI,BSBA,2025-2026,HUM1,Humanities I,3,LOWER,false,7,General Education
e3bb8e7a-2703-5ad3-9d4d-936cc60b6447,UMPI,BSBA,2025-2026,HUM2,Humanities II,3,LOWER,false,8,General Education
b3b4dd51-f44f-5056-a4f0-498f45036c6d,UMPI,BSBA,2025-2026,SS1,Social Science I,3,LOWER,false,9,General Education
f7944d5e-3563-577f-9792-b1d6aaf7032b,UMPI,BSBA,2025-2026,SS2,Social Science II,3,LOWER,false,10,General Education
f608182a-d059-51b6-bfb6-57bebf8fa9b9,UMPI,BSBA,2025-2026,HIST,History,3,LOWER,false,11,General Education
abbe9503-3551-5e2c-a1bd-5fd8c51e4941,UMPI,BSBA,2025-2026,COMM,Public Speaking / Communication,3,LOWER,false,12,General Education
420db415-9ee8-5afd-bb99-74833e0fced3,UMPI,BSBA,2025-2026,ETHICS,Ethics,3,LOWER,false,13,General Education
95349c5c-5937-5cf5-84ef-335e80934314,UMPI,BSBA,2025-2026,INFO,Information Literacy / Computer Applications,3,LOWER,false,14,General Education
1d193954-d8be-57dc-968c-459973cb616d,UMPI,BSBA,2025-2026,BUS101,Introduction to Business,3,LOWER,false,15,Major
a5605301-74ed-58c0-90ed-5d3dc0054324,UMPI,BSBA,2025-2026,ACCT1,Financial Accounting,3,LOWER,false,16,Major
b48ce069-0559-56a6-89fe-aedccc0350d3,UMPI,BSBA,2025-2026,ACCT2,Managerial Accounting,3,LOWER,false,17,Major
163340a2-35e0-597b-b9aa-2c43a1e53544,UMPI,BSBA,2025-2026,MICRO,Microeconomics,3,LOWER,false,18,Major
afeb0352-2ef2-574a-bb90-a0eda28b5d33,UMPI,BSBA,2025-2026,MACRO,Macroeconomics,3,LOWER,false,19,Major
16eacda1-c4ec-58c1-b981-a511882f5cf4,UMPI,BSBA,2025-2026,MGT,Principles of Management,3,LOWER,false,20,Major
