id,provider_code,code,title,opportunity_type,ace_id,nccrs_id,credits,level,hours_per_credit,effort_hours_override,price,exam_fee,recommendation_start,recommendation_expires,source_url,last_verified_at,verified_by,verification_status
89ff7b99-406b-5ec5-bd45-8327fc1b6f3f,SOPHIA,SOPH-ENG1001,English Composition I,ONLINE_COURSE,ACE-SOPH-0001,,3,LOWER,5,,0,0,2024-01-01,2027-12-31,https://www.sophia.org/courses,2026-09-01,seed-research-2026-09,VERIFIED
fd5facb9-b6f8-58ff-ac55-5293a391f76f,SOPHIA,SOPH-ENG1002,English Composition II,ONLINE_COURSE,ACE-SOPH-0002,,3,LOWER,5,,0,0,2024-01-01,2027-12-31,https://www.sophia.org/courses,2026-09-01,seed-research-2026-09,VERIFIED
9a0acdba-43c2-5711-b451-58181b718d5b,SOPHIA,SOPH-COMM1001,Public Speaking,ONLINE_COURSE,ACE-SOPH-0003,,3,LOWER,5,,0,0,2024-01-01,2027-12-31,https://www.sophia.org/courses,2026-09-01,seed-research-2026-09,VERIFIED
685c2f41-6bc1-5a59-8e97-60a33f7b743a,SOPHIA,SOPH-MATH1001,College Algebra,ONLINE_COURSE,ACE-SOPH-0004,,3,LOWER,5,,0,0,2024-01-01,2027-12-31,https://www.sophia.org/courses,2026-09-01,seed-research-2026-09,VERIFIED
678c2694-4d3b-5b2a-93ce-ca706d1a1d84,SOPHIA,SOPH-STAT1001,Introduction to Statistics,ONLINE_COURSE,ACE-SOPH-0005,,3,LOWER,5,,0,0,2024-01-01,2027-12-31,https://www.sophia.org/courses,2026-09-01,seed-research-2026-09,VERIFIED
e5315942-84fd-56ef-b82e-2784e624f0c8,SOPHIA,SOPH-ENVS1001,Environmental Science,ONLINE_COURSE,ACE-SOPH-0006,,3,LOWER,5,,0,0,2024-01-01,2027-12-31,https://www.sophia.org/courses,2026-09-01,seed-research-2026-09,VERIFIED
2f2d330a-ea7a-5068-b6ba-98f32f9d09f6,SOPHIA,SOPH-BIO1001,Human Biology,ONLINE_COURSE,ACE-SOPH-0007,,3,LOWER,5,,0,0,2024-01-01,2027-12-31,https://www.sophia.org/courses,2026-09-01,seed-research-2026-09,VERIFIED
df293cf0-58a2-53b8-8e60-65e371c14992,SOPHIA,SOPH-ART1001,Introduction to Art History,ONLINE_COURSE,ACE-SOPH-0008,,3,LOWER,5,,0,0,2024-01-01,2027-12-31,https://www.sophia.org/courses,2026-09-01,seed-research-2026-09,VERIFIED
e52ccbb0-69eb-54c3-9d93-697eb171c57e,SOPHIA,SOPH-PHIL1001,Ancient Greek Philosophers,ONLINE_COURSE,ACE-SOPH-0009,,3,LOWER,5,,0,0,2024-01-01,2027-12-31,https://www.sophia.org/courses,2026-09-01,seed-research-2026-09,VERIFIED
1743643b-40f2-5a5d-893c-418c50f131cb,SOPHIA,SOPH-PHIL1002,Introduction to Ethics,ONLINE_COURSE,ACE-SOPH-0010,,3,LOWER,5,,0,0,2024-01-01,2027-12-31,https://www.sophia.org/courses,2026-09-01,seed-research-2026-09,VERIFIED
9a4b4cca-4477-577e-9e1c-e0a935439fb7,SOPHIA,SOPH-HIST1001,US History I,ONLINE_COURSE,ACE-SOPH-0011,,3,LOWER,5,,0,0,2024-01-01,2027-12-31,https://www.sophia.org/courses,2026-09-01,seed-research-2026-09,VERIFIED
efe6cefc-35a2-55eb-a0dd-2c9e211cc3f5,SOPHIA,SOPH-PSYC1001,Introduction to Psychology,ONLINE_COURSE,ACE-SOPH-0012,,3,LOWER,5,,0,0,2024-01-01,2027-12-31,https://www.sophia.org/courses,2026-09-01,seed-research-2026-09,VERIFIED
19281b5c-53a8-526e-912a-b3786c429ba4,SOPHIA,SOPH-SOCI1001,Introduction to Sociology,ONLINE_COURSE,ACE-SOPH-0013,,3,LOWER,5,,0,0,2024-01-01,2027-12-31,https://www.sophia.org/courses,2026-09-01,seed-research-2026-09,VERIFIED
a60a7ce3-8b11-501d-9b27-186adfe5a18c,SOPHIA,SOPH-CS1001,Introduction to Information Technology,ONLINE_COURSE,ACE-SOPH-0014,,3,LOWER,5,,0,0,2024-01-01,2027-12-31,https://www.sophia.org/courses,2026-09-01,seed-research-2026-09,VERIFIED
c144c135-f17b-5671-85bd-5d1841647295,SOPHIA,SOPH-BUS1001,Introduction to Business,ONLINE_COURSE,ACE-SOPH-0015,,3,LOWER,5,,0,0,2024-01-01,2027-12-31,https://www.sophia.org/courses,2026-09-01,seed-research-2026-09,VERIFIED
