id,institution_code,code,name,degree_family,catalog_year,total_credits,source_url,last_verified_at,verified_by,verification_status,notes
9c62307e-c786-5fa8-bd0e-341cc39b40f7,UMPI,BSBA,Bachelor of Science in Business Administration,BUSINESS_ADMINISTRATION,2025-2026,120,https://www.umpi.edu/yourpace/academic_programs/business-administration/,2026-09-01,seed-research-2026-09,VERIFIED,
6940e7d5-6909-57ce-a55b-853896110018,UMPI,BSCY,Bachelor of Science in Cybersecurity,CYBERSECURITY,2025-2026,120,https://www.umpi.edu/yourpace/academic_programs/cybersecurity/,2026-09-01,seed-research-2026-09,VERIFIED,YourPace Cybersecurity listed as expanding; requirement list compiled from published UMPI BS Cybersecurity plan.
a80b084a-0ff7-5f40-b8a5-dc814d92a39a,WGU,BSBA,"Bachelor of Science, Business Administration — Business Management",BUSINESS_ADMINISTRATION,2026-03,120,https://www.wgu.edu/online-business-degrees/business-administration-bachelors-program.html,2026-09-01,seed-research-2026-09,VERIFIED,
e82cd78f-ba09-5f81-a2c9-e409b9dc6810,WGU,BSCIA,"Bachelor of Science, Cybersecurity and Information Assurance",CYBERSECURITY,2026-03,120,https://www.wgu.edu/online-it-degrees/cybersecurity-information-assurance-bachelors-program.html,2026-09-01,seed-research-2026-09,VERIFIED,
c6b6a65c-77fb-51cc-9dfd-949e76bdf1ed,TESU,BSBA,Bachelor of Science in Business Administration,BUSINESS_ADMINISTRATION,2025-2026,120,https://www.tesu.edu/business/undergrad/bsba,2026-09-01,seed-research-2026-09,VERIFIED,
75cf99d0-2a90-5857-8efc-e6db6c146f94,TESU,BSCY,Bachelor of Science in Cybersecurity,CYBERSECURITY,2025-2026,120,https://www.tesu.edu/ast/undergrad/bs-cybersecurity,2026-09-01,seed-research-2026-09,VERIFIED,
9d663497-3e99-521f-8b4b-e6725c4ca86e,TESU,BALS,Bachelor of Arts in Liberal Studies,PROFESSIONAL_STUDIES,2025-2026,120,https://www.tesu.edu/heavin/undergrad/ba-liberal-studies,2026-09-01,seed-research-2026-09,VERIFIED,
b9071aca-d967-5ae0-84af-70d249775d72,EXCELSIOR,BSBA,Bachelor of Science in Business,BUSINESS_ADMINISTRATION,2025-2026,120,https://www.excelsior.edu/program/bachelors-business/,2026-09-01,seed-research-2026-09,VERIFIED,"Fixed-rate BS Business option is $3,200 per trimester beginning Spring 2026; seed models the standard $510/credit non-nursing rate unless the student qualifies for the fixed-rate plan."
fc2913b2-ca14-5186-8ac7-ca501599f486,EXCELSIOR,BSCY,Bachelor of Science in Cybersecurity,CYBERSECURITY,2025-2026,120,https://www.excelsior.edu/program/bachelors-cybersecurity/,2026-09-01,seed-research-2026-09,VERIFIED,
8232dee0-115c-5158-a8ca-f46b38fa2d45,EXCELSIOR,BSLA,Bachelor of Science in Liberal Arts,PROFESSIONAL_STUDIES,2025-2026,120,https://www.excelsior.edu/program/bachelors-liberal-arts/,2026-09-01,seed-research-2026-09,VERIFIED,
1fa83b88-05e8-5a7b-94cb-2da8891f1496,COSC,BSBA,Bachelor of Science in Business Administration,BUSINESS_ADMINISTRATION,2026-2027,120,https://www.charteroak.edu/catalog/current/undergraduate_programs/,2026-09-01,seed-research-2026-09,VERIFIED,
59fd904f-2893-5358-93a2-3c0542a3e2b2,COSC,BSCY,Bachelor of Science in Cyber Security,CYBERSECURITY,2026-2027,120,https://www.charteroak.edu/catalog/current/undergraduate_programs/,2026-09-01,seed-research-2026-09,VERIFIED,
64e4d8e2-eb84-58e6-92ac-c0799835faef,COSC,BSGS,Bachelor of Science in General Studies,PROFESSIONAL_STUDIES,2026-2027,120,https://www.charteroak.edu/catalog/current/undergraduate_programs/,2026-09-01,seed-research-2026-09,VERIFIED,General Studies capstone is residency-required; upper-level-in-major minimum is lighter than other COSC majors.
b34a8890-b37a-5053-b90d-95ee197a90e8,SNHU,BSBA,Bachelor of Science in Business Administration,BUSINESS_ADMINISTRATION,2026-2027,120,https://www.snhu.edu/online-degrees/bachelors/bs-in-business-administration,2026-09-01,seed-research-2026-09,VERIFIED,
a3e90fda-780d-5aa3-9d71-7c558a8b677d,SNHU,BSCY,Bachelor of Science in Cybersecurity,CYBERSECURITY,2026-2027,120,https://www.snhu.edu/online-degrees/bachelors/bs-in-cybersecurity,2026-09-01,seed-research-2026-09,VERIFIED,
